(-1.6, -8.0)[[-1.00000000e+00 -1.80788221e+00 -1.69044916e+03 -3.03983605e+02]]
(-1.6, -7.9)[[-1.00000000e+00 -1.81250056e+00 -1.65357584e+03 -3.01111025e+02]]
(-1.6, -7.8)[[-1.00000000e+00 -1.81723943e+00 -1.61711263e+03 -2.98240818e+02]]
(-1.6, -7.7)[[-1.00000000e+00 -1.82210363e+00 -1.58105950e+03 -2.95373078e+02]]
(-1.6, -7.6)[[-1.00000000e+00 -1.82709819e+00 -1.54541644e+03 -2.92507901e+02]]
(-1.6, -7.5)[[-1.00000000e+00 -1.83222843e+00 -1.51018341e+03 -2.89645392e+02]]
(-1.6, -7.4)[[-1.00000000e+00 -1.83749999e+00 -1.47536041e+03 -2.86785659e+02]]
(-1.6, -7.3)[[-1.00000000e+00 -1.84291878e+00 -1.44094739e+03 -2.83928818e+02]]
(-1.6, -7.2)[[-1.00000000e+00 -1.84849109e+00 -1.40694433e+03 -2.81074990e+02]]
(-1.6, -7.1)[[-1.00000000e+00 -1.85422353e+00 -1.37335121e+03 -2.78224305e+02]]
(-1.6, -7.0)[[-1.00000000e+00 -1.86012314e+00 -1.34016799e+03 -2.75376897e+02]]
(-1.6, -6.9)[[-1.00000000e+00 -1.86619734e+00 -1.30739465e+03 -2.72532912e+02]]
(-1.6, -6.8)[[-1.00000000e+00 -1.87245404e+00 -1.27503115e+03 -2.69692501e+02]]
(-1.6, -6.7)[[-1.00000000e+00 -1.87890160e+00 -1.24307745e+03 -2.66855828e+02]]
(-1.6, -6.6)[[-1.00000000e+00 -1.88554892e+00 -1.21153352e+03 -2.64023063e+02]]
(-1.6, -6.5)[[-1.00000000e+00 -1.89240545e+00 -1.18039932e+03 -2.61194389e+02]]
(-1.6, -6.4)[[-1.00000000e+00 -1.89948125e+00 -1.14967479e+03 -2.58370001e+02]]
(-1.6, -6.3)[[-1.00000000e+00 -1.90678707e+00 -1.11935991e+03 -2.55550106e+02]]
(-1.6, -6.2)[[-1.00000000e+00 -1.91433432e+00 -1.08945461e+03 -2.52734924e+02]]
(-1.6, -6.1)[[-1.00000000e+00 -1.92213524e+00 -1.05995885e+03 -2.49924691e+02]]
(-1.6, -6.0)[[-1.00000000e+00 -1.93020286e+00 -1.03087258e+03 -2.47119658e+02]]
(-1.6, -5.9)[[-1.00000000e+00 -1.93855117e+00 -1.00219572e+03 -2.44320094e+02]]
(-1.6, -5.8)[[  -1.           -1.94719512 -973.92822783 -241.52628635]]
(-1.6, -5.7)[[  -1.           -1.95615078 -946.0700239  -238.73854398]]
(-1.6, -5.6)[[  -1.           -1.96543539 -918.6210385  -235.95719797]]
